time/episodes,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/total_timesteps,train/ent_coef,train/actor_loss,train/learning_rate,train/critic_loss,train/ent_coef_loss,train/n_updates
60,1063,3420.766666666667,1,25.0,1500,0.9084316492080688,-530.2874755859375,7e-05,3174.222900390625,-90.15888214111328,1451
61,1086,3434.2131147540986,1,25.0,1525,0.9068421721458435,-521.4943237304688,7e-05,3877.09423828125,-91.70946502685547,1476
62,1102,3435.1612903225805,1,25.0,1550,0.9052553772926331,-527.0164184570312,7e-05,2266.328125,-93.449462890625,1501
63,1110,3393.8253968253966,1,25.0,1575,0.9036714434623718,-541.5313110351562,7e-05,3878.649169921875,-95.03008270263672,1526
64,1131,3399.28125,1,25.0,1600,0.9020900726318359,-537.636474609375,7e-05,4052.8916015625,-96.64471435546875,1551
65,1142,3379.5384615384614,1,25.0,1625,0.9005118012428284,-516.3473510742188,7e-05,3981.082275390625,-98.51285552978516,1576
66,1153,3352.6363636363635,1,25.0,1650,0.8989359140396118,-498.9355163574219,7e-05,2812.462646484375,-100.02623748779297,1601
67,1170,3347.507462686567,1,25.0,1675,0.8973625898361206,-496.2350769042969,7e-05,1290.116943359375,-101.75150299072266,1626
68,1182,3318.6911764705883,1,25.0,1700,0.8957921266555786,-535.2202758789062,7e-05,2121.5947265625,-103.35305786132812,1651
69,1200,3322.5652173913045,1,25.0,1725,0.8942245841026306,-523.9973754882812,7e-05,1536.11962890625,-104.89603424072266,1676
70,1218,3330.8142857142857,1,25.0,1750,0.8926596641540527,-561.61474609375,7e-05,1562.1959228515625,-106.67493438720703,1701
71,1237,3339.169014084507,1,25.0,1775,0.8910973072052002,-514.8825073242188,7e-05,1109.1904296875,-108.37763214111328,1726
72,1259,3353.6944444444443,1,25.0,1800,0.8895379900932312,-534.4887084960938,7e-05,2403.587158203125,-109.82174682617188,1751
73,1276,3351.3698630136987,1,25.0,1825,0.8879810571670532,-503.5968933105469,7e-05,1097.81103515625,-111.71366119384766,1776
74,1295,3361.635135135135,1,25.0,1850,0.8864266872406006,-526.7613525390625,7e-05,2964.85986328125,-113.37896728515625,1801
75,1307,3339.9866666666667,1,25.0,1875,0.8848753571510315,-520.126953125,7e-05,4366.5439453125,-114.8985824584961,1826
76,1328,3360.8552631578946,1,25.0,1900,0.8833267092704773,-500.4346618652344,7e-05,1254.2427978515625,-116.75589752197266,1851
77,1344,3352.311688311688,1,25.0,1925,0.8817806243896484,-533.637939453125,7e-05,4481.8759765625,-118.17719268798828,1876
78,1353,3321.641025641026,1,25.0,1950,0.8802372813224792,-493.1473083496094,7e-05,2252.190185546875,-119.82671356201172,1901
79,1372,3327.3164556962024,1,25.0,1975,0.8786967992782593,-516.5923461914062,7e-05,4078.5380859375,-121.42941284179688,1926
80,1390,3330.4,1,25.0,2000,0.8771589398384094,-506.8958435058594,7e-05,10557.326171875,-123.14823150634766,1951
81,1409,3340.3703703703704,1,25.0,2025,0.8756237030029297,-534.7565307617188,7e-05,2470.576171875,-124.96322631835938,1976
82,1425,3332.817073170732,1,25.0,2050,0.8740910887718201,-483.5796813964844,7e-05,2005.7205810546875,-126.5152359008789,2001
83,1442,3345.4939759036147,1,25.0,2075,0.8725611567497253,-511.5442199707031,7e-05,4714.76318359375,-127.99993133544922,2026
84,1457,3340.0119047619046,1,25.0,2100,0.8710340261459351,-507.3929443359375,7e-05,2323.8154296875,-129.70518493652344,2051
85,1473,3338.1294117647058,1,25.0,2125,0.8695096969604492,-515.0834350585938,7e-05,2027.046630859375,-131.2758026123047,2076
86,1491,3347.720930232558,1,25.0,2150,0.867987871170044,-497.4400939941406,7e-05,5072.68994140625,-133.0196533203125,2101
87,1510,3350.2758620689656,1,25.0,2175,0.866468608379364,-506.2288513183594,7e-05,5225.607421875,-134.61508178710938,2126
88,1527,3351.2613636363635,1,25.0,2200,0.8649518489837646,-484.5575256347656,7e-05,1892.887451171875,-136.17971801757812,2151
89,1541,3349.0112359550562,1,25.0,2225,0.8634379506111145,-503.1826171875,7e-05,955.24462890625,-138.07518005371094,2176
90,1553,3337.8333333333335,1,25.0,2250,0.8619268536567688,-526.794677734375,7e-05,2450.11181640625,-139.65504455566406,2201
91,1572,3342.252747252747,1,25.0,2275,0.8604185581207275,-476.9169006347656,7e-05,1037.7742919921875,-141.31007385253906,2226
92,1588,3342.4565217391305,1,25.0,2300,0.8589125871658325,-505.5439453125,7e-05,1903.7576904296875,-143.2090301513672,2251
93,1611,3353.3655913978496,1,25.0,2325,0.8574094772338867,-510.8912658691406,7e-05,1192.94580078125,-144.71878051757812,2276
94,1626,3350.4148936170213,1,25.0,2350,0.855908989906311,-512.93505859375,7e-05,5318.1396484375,-146.45346069335938,2301
95,1645,3359.084210526316,1,25.0,2375,0.8544114232063293,-505.77587890625,7e-05,2895.8291015625,-147.55250549316406,2326
96,1664,3366.15625,1,25.0,2400,0.852917492389679,-482.0736389160156,7e-05,10571.806640625,-149.2972869873047,2351
97,1680,3363.6082474226805,1,25.0,2425,0.8514270186424255,-512.952392578125,7e-05,1367.2825927734375,-151.35293579101562,2376
98,1687,3340.183673469388,1,25.0,2450,0.8499392867088318,-521.1192016601562,7e-05,2877.267333984375,-151.9280548095703,2401
99,1695,3314.2020202020203,1,25.0,2475,0.8484553694725037,-489.6486511230469,7e-05,3090.26220703125,-153.5348358154297,2426
100,1712,3316.41,1,25.0,2500,0.8469743728637695,-512.5335083007812,7e-05,1259.6636962890625,-155.91136169433594,2451
101,1726,3303.82,1,25.0,2525,0.8454959988594055,-495.0564880371094,7e-05,5083.05859375,-157.2582550048828,2476
102,1746,3308.77,1,25.0,2550,0.8440210819244385,-527.2308349609375,7e-05,2209.73974609375,-159.0248565673828,2501
103,1763,3308.44,1,25.0,2575,0.842549741268158,-476.6309814453125,7e-05,4709.4462890625,-160.217529296875,2526
104,1783,3315.19,1,25.0,2600,0.8410815000534058,-503.2911376953125,7e-05,6591.44775390625,-161.9070281982422,2551
105,1799,3311.74,1,25.0,2625,0.8396162390708923,-465.8955383300781,7e-05,1682.492919921875,-163.3035125732422,2576
106,1816,3306.23,1,25.0,2650,0.8381544947624207,-487.4918518066406,7e-05,8056.69580078125,-164.88841247558594,2601
107,1833,3303.88,1,25.0,2675,0.836695671081543,-489.7168884277344,7e-05,6022.3359375,-166.49557495117188,2626
108,1852,3305.93,1,25.0,2700,0.8352396488189697,-517.8910522460938,7e-05,3332.18408203125,-168.21400451660156,2651
109,1870,3298.85,1,25.0,2725,0.8337868452072144,-512.7055053710938,7e-05,1963.1572265625,-169.230712890625,2676
110,1893,3302.57,1,25.0,2750,0.8323370814323425,-503.914306640625,7e-05,3769.775146484375,-171.09788513183594,2701
111,1914,3316.01,1,25.0,2775,0.8308901786804199,-510.9535827636719,7e-05,4243.1591796875,-172.1923370361328,2726
112,1931,3337.34,1,25.0,2800,0.8294461369514465,-508.4569396972656,7e-05,3891.353515625,-174.5253143310547,2751
113,1952,3334.07,1,25.0,2825,0.8280046582221985,-505.9223327636719,7e-05,2698.02978515625,-175.22833251953125,2776
114,1969,3354.56,1,25.0,2850,0.8265661597251892,-509.9175109863281,7e-05,2499.375,-176.9467315673828,2801
115,1992,3351.3,1,25.0,2875,0.8251305222511292,-519.1978759765625,7e-05,4368.4609375,-179.0029296875,2826
116,2013,3355.58,1,25.0,2900,0.8236979842185974,-541.142578125,7e-05,1368.30517578125,-179.95899963378906,2851
117,2033,3360.7,1,25.0,2925,0.8222680687904358,-500.61669921875,7e-05,2238.76171875,-182.2049102783203,2876
118,2049,3361.33,1,25.0,2950,0.8208412528038025,-520.5604858398438,7e-05,4623.52783203125,-183.30908203125,2901
119,2056,3327.04,1,25.0,2975,0.8194171190261841,-483.9266052246094,7e-05,4023.99072265625,-184.6439208984375,2926
120,2069,3311.87,1,25.0,3000,0.8179953694343567,-527.7301025390625,7e-05,6841.6240234375,-186.4169464111328,2951
121,2087,3321.77,1,25.0,3025,0.8165762424468994,-480.975341796875,7e-05,1033.8380126953125,-188.61964416503906,2976
122,2101,3317.38,1,25.0,3050,0.815159022808075,-530.191650390625,7e-05,1658.79248046875,-189.0032501220703,3001
123,2116,3320.96,1,25.0,3075,0.8137450218200684,-517.2826538085938,7e-05,5678.498046875,-190.92701721191406,3026
124,2132,3329.93,1,25.0,3100,0.8123335242271423,-529.7781982421875,7e-05,4777.6640625,-193.1641082763672,3051
125,2149,3329.27,1,25.0,3125,0.810924232006073,-523.6903686523438,7e-05,2063.627197265625,-193.19854736328125,3076
126,2169,3341.18,1,25.0,3150,0.8095181584358215,-508.8400573730469,7e-05,2636.39111328125,-196.11595153808594,3101
127,2185,3341.66,1,25.0,3175,0.8081141710281372,-483.5144958496094,7e-05,3789.18359375,-197.3094024658203,3126
128,2203,3364.78,1,25.0,3200,0.8067125678062439,-493.1177062988281,7e-05,2346.40283203125,-199.37120056152344,3151
129,2217,3353.78,1,25.0,3225,0.8053131103515625,-477.809814453125,7e-05,559.7906494140625,-201.02293395996094,3176
130,2227,3340.78,1,25.0,3250,0.8039160966873169,-475.2059326171875,7e-05,2146.13623046875,-202.71327209472656,3201
131,2237,3339.32,1,25.0,3275,0.802521824836731,-527.544921875,7e-05,1121.096435546875,-203.5118865966797,3226
132,2259,3345.14,1,25.0,3300,0.8011299967765808,-482.7694396972656,7e-05,1620.519775390625,-205.9857635498047,3251
133,2272,3333.19,1,25.0,3325,0.7997406721115112,-507.0519104003906,7e-05,9067.6767578125,-206.0962677001953,3276
134,2286,3330.64,1,25.0,3350,0.7983537316322327,-498.3473205566406,7e-05,2194.703125,-208.8850555419922,3301
135,2296,3307.87,1,25.0,3375,0.7969682812690735,-522.8565063476562,7e-05,1325.734619140625,-209.0564422607422,3326
136,2311,3291.42,1,25.0,3400,0.7955853343009949,-476.4156188964844,7e-05,4523.8251953125,-212.29840087890625,3351
137,2332,3293.11,1,25.0,3425,0.7942047119140625,-489.7881774902344,7e-05,1860.415771484375,-213.8348846435547,3376
138,2342,3263.39,1,25.0,3450,0.7928262948989868,-510.7235107421875,7e-05,2529.147705078125,-214.56756591796875,3401
139,2354,3251.37,1,25.0,3475,0.7914505004882812,-541.7957763671875,7e-05,2477.8369140625,-215.8967742919922,3426
140,2373,3257.0,1,25.0,3500,0.7900771498680115,-501.1483154296875,7e-05,9672.3759765625,-218.0601348876953,3451
141,2394,3264.57,1,25.0,3525,0.7887058854103088,-492.0804138183594,7e-05,2313.113037109375,-220.68824768066406,3476
142,2407,3260.22,1,25.0,3550,0.7873366475105286,-485.4090270996094,7e-05,2892.43701171875,-221.56005859375,3501
143,2427,3262.2,1,25.0,3575,0.7859707474708557,-485.5917663574219,7e-05,3201.099853515625,-222.6898956298828,3526
144,2443,3265.03,1,25.0,3600,0.7846068739891052,-442.593505859375,7e-05,1959.4185791015625,-224.1671905517578,3551
145,2459,3262.05,1,25.0,3625,0.7832446098327637,-499.0675354003906,7e-05,1108.300048828125,-226.43629455566406,3576
146,2475,3274.55,1,25.0,3650,0.7818843126296997,-456.5967712402344,7e-05,1228.374755859375,-227.57659912109375,3601
147,2489,3267.29,1,25.0,3675,0.7805259823799133,-486.411865234375,7e-05,1620.529052734375,-229.35589599609375,3626
148,2503,3267.37,1,25.0,3700,0.7791703343391418,-493.0098876953125,7e-05,791.84521484375,-230.42063903808594,3651
149,2524,3280.7,1,25.0,3725,0.7778168320655823,-444.6233825683594,7e-05,1441.71728515625,-231.5027618408203,3676
150,2533,3261.73,1,25.0,3750,0.776465892791748,-505.8761291503906,7e-05,1738.79345703125,-233.5548553466797,3701
151,2543,3234.44,1,25.0,3775,0.7751169800758362,-463.08203125,7e-05,1049.0689697265625,-235.57164001464844,3726
152,2560,3238.45,1,25.0,3800,0.7737698554992676,-495.176025390625,7e-05,1906.6328125,-236.29151916503906,3751
153,2577,3230.98,1,25.0,3825,0.7724248170852661,-449.3714294433594,7e-05,1120.76611328125,-238.8625030517578,3776
154,2593,3223.04,1,25.0,3850,0.7710815668106079,-481.130859375,7e-05,2447.87890625,-240.6669464111328,3801
155,2611,3215.0,1,25.0,3875,0.7697407007217407,-481.486083984375,7e-05,2053.884765625,-241.2965087890625,3826
156,2627,3233.97,1,25.0,3900,0.7684029340744019,-523.8018188476562,7e-05,3950.216552734375,-243.7072296142578,3851
157,2652,3239.61,1,25.0,3925,0.7670671343803406,-498.964599609375,7e-05,938.48681640625,-244.90283203125,3876
158,2671,3243.36,1,25.0,3950,0.7657334804534912,-436.4526062011719,7e-05,1331.808837890625,-246.1422882080078,3901
