,index_left,station,geometry
188,2064.0,7217,POINT (-8838047.888477944 5411359.150071125)
189,1068.0,7220,POINT (-8846012.57540522 5409273.598610819)
190,1074.0,7221,POINT (-8846062.290689807 5412108.535093742)
191,1255.0,7222,POINT (-8844870.437429681 5409575.381898964)
192,1198.0,7223,POINT (-8845452.63836653 5412130.167665462)
193,1074.0,7224,POINT (-8846009.66996651 5411980.294679149)
194,1068.0,7225,POINT (-8846310.911640545 5409114.251165676)
195,1378.0,7226,POINT (-8843773.161208931 5409396.494897155)
196,1563.0,7227,POINT (-8842151.681506038 5408576.550718854)
197,1441.0,7228,POINT (-8843479.021718409 5409483.369252872)
198,1322.0,7229,POINT (-8844475.887758464 5411964.893640493)
199,1319.0,7230,POINT (-8844101.442387281 5410479.09874416)
200,1382.0,7231,POINT (-8843525.475341916 5410926.452053964)
201,1442.0,7232,POINT (-8843133.853373306 5409938.550081929)
202,1565.0,7233,POINT (-8842300.181706756 5409579.688765423)
203,1321.0,7234,POINT (-8844427.274536831 5411513.366905066)
204,2192.0,7235,POINT (-8837170.690890493 5412989.664876233)
205,2687.0,7236,POINT (-8833237.773280766 5412894.87930626)
206,1387.0,7237,POINT (-8843937.691416325 5413489.767182559)
207,1382.0,7238,POINT (-8843722.254805792 5411310.288610384)
208,1759.0,7239,POINT (-8840562.484455472 5413578.249640034)
209,1696.0,7240,POINT (-8841338.826584265 5413346.042701443)
210,2256.0,7241,POINT (-8836646.966082156 5413950.4699964505)
211,1686.0,7242,POINT (-8841029.247080369 5408400.297596774)
212,1750.0,7243,POINT (-8840857.158279551 5409161.11687137)
213,1625.0,7244,POINT (-8841626.142190002 5408895.383622047)
214,1939.0,7245,POINT (-8839487.583452372 5410907.222184958)
215,2195.0,7246,POINT (-8837268.318083918 5414510.367642567)
216,1321.0,7247,POINT (-8844177.696238475 5411760.759221565)
217,2004.0,7248,POINT (-8838594.80113621 5412192.326972737)
218,1693.0,7249,POINT (-8841410.516336337 5411613.830772162)
219,2068.0,7250,POINT (-8838445.521699058 5413021.824486992)
220,2070.0,7251,POINT (-8838169.070872247 5414284.3001925945)
221,1945.0,7252,POINT (-8839323.943800906 5413875.864681551)
222,2125.0,7253,POINT (-8837598.714332592 5410837.687312594)
223,2002.0,7256,POINT (-8838587.231410837 5411197.212857988)
224,2128.0,7257,POINT (-8837602.220896551 5412132.69095593)
225,2936.0,7258,POINT (-8831239.009559674 5413386.020657042)
226,2123.0,7259,POINT (-8837868.107500311 5409668.133788273)
227,2064.0,7260,POINT (-8838248.75336713 5411007.20255673)
228,2497.0,7261,POINT (-8834860.032220095 5410701.542009046)
229,1702.0,7262,POINT (-8841324.399578258 5416195.313048406)
230,2191.0,7263,POINT (-8837243.605156962 5412643.6099281525)
231,2319.0,7264,POINT (-8836449.11795117 5414751.376307994)
232,1324.0,7265,POINT (-8844281.668642875 5413180.00831682)
233,3566.0,7266,POINT (-8826409.346659914 5418211.836788264)
234,2377.0,7267,POINT (-8835689.139787525 5412713.927736651)
235,2315.0,7268,POINT (-8836373.865975393 5412503.437512791)
236,2252.0,7269,POINT (-8836613.870797543 5412273.257786612)
237,2315.0,7270,POINT (-8836235.82980681 5412518.362465733)
238,2255.0,7271,POINT (-8836938.81239117 5413416.673617775)
239,2193.0,7272,POINT (-8837075.067447899 5413868.939713821)
240,2132.0,7273,POINT (-8837533.035833023 5414230.891649204)
241,2130.0,7274,POINT (-8837618.974479916 5413253.7155205505)
242,2251.0,7275,POINT (-8836619.214133102 5411787.837389721)
243,2195.0,7276,POINT (-8837409.693837225 5414500.210327331)
244,2386.0,7277,POINT (-8835628.35934555 5416916.2731203865)
245,2937.0,7278,POINT (-8831468.349974606 5413879.557999796)
246,2138.0,7279,POINT (-8837549.733756643 5417285.579918155)
247,2257.0,7280,POINT (-8836671.534293775 5414454.1947512645)
248,2194.0,7281,POINT (-8837348.245478308 5414273.05874091)
249,2311.0,7283,POINT (-8836403.254320962 5410814.611696244)
250,2188.0,7284,POINT (-8837074.71122553 5411095.907389662)
251,2007.0,7285,POINT (-8838972.964578385 5413426.029561791)
252,2689.0,7286,POINT (-8833430.355999837 5413846.62596423)
253,2874.0,7287,POINT (-8831842.272144182 5413233.711419641)
254,878.0,7288,POINT (-8847704.742984768 5407199.128248004)
255,1005.0,7289,POINT (-8846811.760293523 5408498.620586272)
256,2497.0,7291,POINT (-8834911.951630602 5410688.589080138)
257,2316.0,7292,POINT (-8836423.815030916 5413201.012501812)
258,1573.0,7296,POINT (-8842368.754513083 5413795.9970357325)
259,1571.0,7297,POINT (-8842231.83153941 5412567.44572842)
260,1939.0,7298,POINT (-8839151.621229159 5410718.310079369)
261,2561.0,7299,POINT (-8834496.240124185 5411477.058639886)
262,1389.0,7301,POINT (-8843882.365629401 5414733.6775011225)
263,1576.0,7302,POINT (-8842158.917272938 5415272.813766623)
264,3123.0,7303,POINT (-8829839.300546337 5413787.071599906)
265,3124.0,7309,POINT (-8829605.1956572 5413934.034615431)
266,2319.0,7311,POINT (-8836091.559746742 5414449.885612067)
267,2504.0,7312,POINT (-8834707.190559236 5414287.370972725)
268,3184.0,7313,POINT (-8829330.23651494 5413402.670495584)
269,3186.0,7314,POINT (-8829006.519435713 5414085.462827904)
270,3435.0,7315,POINT (-8827024.475902138 5414722.750428596)
271,3559.0,7316,POINT (-8826411.10550787 5414910.821001442)
272,3558.0,7317,POINT (-8826405.428213838 5414411.719038356)
273,3496.0,7318,POINT (-8826651.778246963 5414304.761133698)
274,3060.0,7319,POINT (-8830351.81548195 5413007.9758370565)
275,2249.0,7320,POINT (-8836894.696476968 5410693.619490991)
276,2249.0,7321,POINT (-8836851.916396657 5410714.1872849455)
277,1813.0,7322,POINT (-8840055.936244566 5409788.220411429)
278,2063.0,7323,POINT (-8838330.573192863 5410700.63438042)
279,2063.0,7324,POINT (-8838098.538846254 5410756.461398608)
280,1327.0,7326,POINT (-8844193.280967185 5414749.991182757)
281,1514.0,7327,POINT (-8842688.330507252 5415149.516083208)
282,2135.0,7328,POINT (-8837690.88687097 5415758.263410025)
283,1815.0,7329,POINT (-8840475.766572144 5410770.768183929)
284,3009.0,7331,POINT (-8830812.12157638 5418509.678174205)
285,2257.0,7332,POINT (-8836671.422974283 5414755.377782075)
286,2312.0,7333,POINT (-8836119.233772153 5411372.8885573475)
287,2187.0,7334,POINT (-8837153.970702974 5410855.778636108)
288,2132.0,7335,POINT (-8837587.582383512 5414398.79168624)
289,2999.0,7336,POINT (-8830751.118495425 5413578.249640034)
290,2876.0,7337,POINT (-8831940.678574042 5414292.449511926)
291,2753.0,7338,POINT (-8832873.836469514 5414827.142975012)
292,2754.0,7339,POINT (-8832787.363489067 5415333.732141073)
293,2877.0,7340,POINT (-8831894.592304854 5414892.660173526)
294,2873.0,7341,POINT (-8831513.946438035 5412854.534185007)
295,2811.0,7342,POINT (-8832096.748500135 5412667.151716916)
296,3000.0,7343,POINT (-8830909.303491842 5414122.704699506)
297,2743.0,7344,POINT (-8832684.960689487 5409555.385759555)
298,2806.0,7345,POINT (-8832412.049825856 5410027.706130159)
299,2752.0,7346,POINT (-8832675.019858958 5414086.447734972)
300,1452.0,7347,POINT (-8843349.367907481 5415121.366087688)
301,2697.0,7348,POINT (-8833214.841465663 5417630.115375156)
302,2635.0,7349,POINT (-8833689.173815932 5417472.163207864)
303,2633.0,7350,POINT (-8833936.525724474 5416803.15951195)
304,2569.0,7351,POINT (-8834116.64066058 5415795.866043563)
305,2821.0,7352,POINT (-8832233.894112792 5417676.300729927)
306,2757.0,7353,POINT (-8832872.756670456 5416662.277434168)
307,3117.0,7354,POINT (-8829960.984839002 5410797.009463541)
308,1709.0,7355,POINT (-8841341.498252045 5419820.171246141)
309,2499.0,7356,POINT (-8834860.254859079 5411727.680885192)
310,2997.0,7357,POINT (-8830885.703759795 5412852.4107624525)
311,2323.0,7359,POINT (-8836269.225654047 5416461.394884503)
312,1633.0,7360,POINT (-8841540.648821073 5412506.207089866)
313,1764.0,7361,POINT (-8840823.9182796 5416321.256879525)
314,1765.0,7362,POINT (-8840853.028326442 5416561.60471363)
315,1765.0,7363,POINT (-8840506.379432112 5416570.071031654)
316,3622.0,7364,POINT (-8825571.199949833 5415104.7439327)
317,3372.0,7365,POINT (-8827791.467193706 5413949.577437555)
318,1999.0,7366,POINT (-8838744.414531836 5409753.503265247)
319,1629.0,7367,POINT (-8841909.005016107 5410647.192133362)
320,1630.0,7368,POINT (-8841737.573000288 5411337.242381712)
321,1388.0,7369,POINT (-8843659.615328323 5414094.388552044)
322,2020.0,7371,POINT (-8838946.793366099 5420110.642100765)
323,2375.0,7373,POINT (-8835505.90790568 5411584.629982721)
324,2436.0,7374,POINT (-8835248.759881947 5411241.443004531)
325,2312.0,7375,POINT (-8836039.128266579 5411077.923285171)
326,2017.0,7376,POINT (-8838817.66275678 5418626.3847335465)
327,2079.0,7377,POINT (-8838120.802744413 5418805.31199485)
328,2079.0,7378,POINT (-8838382.403547777 5418763.247378968)
329,2077.0,7379,POINT (-8838249.933353731 5417757.849235398)
330,2021.0,7380,POINT (-8838649.57032568 5420860.306411729)
331,2021.0,7381,POINT (-8838640.887405401 5420420.23314521)
332,2188.0,7382,POINT (-8837244.718351869 5411150.029140258)
333,2310.0,7383,POINT (-8836118.165105041 5410293.671915329)
334,2133.0,7384,POINT (-8837669.958806701 5414584.96269227)
335,2194.0,7385,POINT (-8837154.549564326 5414378.154129464)
336,2128.0,7386,POINT (-8837878.126254482 5412241.8700864315)
337,2695.0,7387,POINT (-8833159.293039756 5416849.617818728)
338,2569.0,7388,POINT (-8834156.715677265 5415623.276911936)
339,2253.0,7389,POINT (-8836932.801138666 5412812.865953343)
340,2252.0,7391,POINT (-8836563.443068214 5412324.8015451925)
341,3254.0,7392,POINT (-8828868.260628147 5417105.465962398)
342,3504.0,7395,POINT (-8826680.053397626 5418261.951066126)
343,2248.0,7398,POINT (-8836621.6631619 5410199.590835568)
344,2435.0,7399,POINT (-8835346.721033843 5410548.477085544)
345,2620.0,7400,POINT (-8833647.540326376 5410156.980851318)
346,1958.0,7403,POINT (-8839162.753178237 5419975.54576115)
347,2145.0,7404,POINT (-8837809.10817019 5420583.82596071)
348,2313.0,7406,POINT (-8836341.694642555 5411871.841757241)
349,2189.0,7407,POINT (-8837270.32183475 5411680.756006506)
350,2189.0,7408,POINT (-8837393.886469532 5411842.301672809)
351,2256.0,7409,POINT (-8836802.779973421 5414259.6698989635)
352,2381.0,7410,POINT (-8835664.760819042 5414711.8233689945)
353,1998.0,7411,POINT (-8838712.46583798 5409133.784922888)
354,1814.0,7412,POINT (-8840227.501843777 5410173.932525491)
355,1201.0,7413,POINT (-8845436.719679346 5413711.821285518)
356,1139.0,7414,POINT (-8845912.053905033 5413594.869048325)
357,1078.0,7415,POINT (-8846032.27895509 5414031.908664171)
358,2062.0,7416,POINT (-8838021.171800151 5410161.595641569)
359,2312.0,7417,POINT (-8836387.892231235 5411272.750384049)
360,2254.0,7418,POINT (-8836851.760549368 5412957.813123291)
361,2008.0,7419,POINT (-8838968.500666803 5414056.992903357)
362,1884.0,7420,POINT (-8839945.885795968 5414271.981477045)
363,1565.0,7422,POINT (-8842011.641586618 5409657.212704866)
364,2203.0,7424,POINT (-8837416.150367692 5418797.444111057)
365,1006.0,7425,POINT (-8846901.684178187 5409333.277704719)
366,3247.0,7427,POINT (-8828722.65473419 5413462.837907195)
367,3309.0,7428,POINT (-8828160.04602772 5413844.9331992185)
368,3192.0,7429,POINT (-8829127.746361187 5417045.890581007)
369,1501.0,7430,POINT (-8842937.708430529 5408905.227166958)
370,2939.0,7431,POINT (-8831364.82284817 5414486.359460922)
371,2437.0,7432,POINT (-8835362.417082045 5411609.676808076)
372,2751.0,7433,POINT (-8832972.053656243 5413460.683568558)
373,1391.0,7434,POINT (-8843780.174336853 5415545.856811858)
374,1640.0,7435,POINT (-8841851.118880894 5416229.73116267)
375,1634.0,7437,POINT (-8841749.818144273 5413267.102904583)
376,1074.0,7438,POINT (-8846281.634614468 5412036.160200648)
377,1811.0,7440,POINT (-8840341.626585739 5408547.328764637)
378,1137.0,7441,POINT (-8845978.84559951 5412539.288213549)
379,1828.0,7442,POINT (-8840203.924375627 5417366.709317659)
380,2377.0,7443,POINT (-8835811.591227397 5412588.002307131)
381,1014.0,7444,POINT (-8846725.799382733 5413088.606045881)
382,3126.0,7445,POINT (-8829711.83972938 5414995.007678638)
383,3186.0,7446,POINT (-8829294.280319413 5414373.552622345)
384,3441.0,7447,POINT (-8827178.653396888 5417484.786965946)
385,3442.0,7448,POINT (-8827102.176906712 5418336.62261455)
386,3195.0,7449,POINT (-8829270.903226348 5418692.74492586)
387,2755.0,7450,POINT (-8832906.152517693 5415790.278741218)
388,1813.0,7451,POINT (-8840343.407697592 5409910.8620432215)
389,2380.0,7452,POINT (-8835928.365373239 5414396.944923128)
390,2317.0,7453,POINT (-8836236.18602918 5413710.097768115)
391,2510.0,7454,POINT (-8834548.671604346 5417308.5177595895)
392,2705.0,7455,POINT (-8833340.298531786 5421589.6551647475)
393,2069.0,7457,POINT (-8838100.653916579 5413779.685038847)
394,2313.0,7458,POINT (-8836010.519157443 5411695.833482525)
395,1578.0,7459,POINT (-8842387.901465502 5416125.984642363)
396,1072.0,7460,POINT (-8846038.846805047 5411317.2116605835)
397,1133.0,7461,POINT (-8845932.759330321 5410768.922145868)
398,2313.0,7462,POINT (-8836401.25057013 5411720.44982278)
399,2063.0,7463,POINT (-8838471.247633379 5410861.901387974)
400,1889.0,7465,POINT (-8839660.239982592 5416911.501015825)
401,949.0,7466,POINT (-8847028.58839769 5411717.680481229)
402,2248.0,7467,POINT (-8836996.475887401 5410334.651939512)
403,2187.0,7468,POINT (-8837322.641995426 5410545.400429657)
404,2250.0,7469,POINT (-8836876.250837345 5410935.220887516)
405,815.0,7471,POINT (-8848423.421617331 5406620.4216710245)
406,2314.0,7472,POINT (-8836447.448158808 5412408.656931047)
407,1814.0,7473,POINT (-8840137.321817605 5410399.736533178)
408,2125.0,7474,POINT (-8837977.200601289 5410525.402191356)
409,2375.0,7475,POINT (-8835721.533759344 5411864.918291478)
410,1325.0,7476,POINT (-8844474.140042458 5413828.467228479)
411,1325.0,7477,POINT (-8844229.571121184 5413619.7982168235)
412,1069.0,7478,POINT (-8846218.182504715 5409676.286154721)
413,824.0,7479,POINT (-8848204.122220468 5411400.750208583)
414,949.0,7480,POINT (-8847427.112174729 5411657.6782847345)
415,3437.0,7483,POINT (-8827410.086618247 5415851.846997752)
416,2022.0,7484,POINT (-8838785.60274343 5421215.863851915)
417,2023.0,7485,POINT (-8838766.789749485 5421697.6216044575)
418,3377.0,7486,POINT (-8827561.258486746 5416710.1512383055)
419,3251.0,7487,POINT (-8828681.466522597 5415471.8234862)
420,2324.0,7488,POINT (-8836129.742332084 5416966.149457579)
421,2563.0,7489,POINT (-8834175.528671209 5412458.970527877)
422,2004.0,7491,POINT (-8838557.731745776 5412064.4700403055)
423,2622.0,7492,POINT (-8833786.389127241 5411176.059384478)
424,2562.0,7493,POINT (-8834259.129608793 5412023.697744384)
425,2134.0,7494,POINT (-8837793.857399954 5415095.047689438)
426,1317.0,7496,POINT (-8844183.262213014 5409853.178895664)
427,1384.0,7497,POINT (-8843753.791617535 5412053.699982386)
428,1013.0,7501,POINT (-8846556.593756726 5412848.563983708)
429,2130.0,7502,POINT (-8837614.299061302 5412968.584235185)
430,3439.0,7503,POINT (-8827052.973691782 5416857.930462884)
431,3564.0,7504,POINT (-8826173.327075534 5417125.940277822)
432,2438.0,7505,POINT (-8835068.29985542 5411976.955990267)
433,2500.0,7506,POINT (-8834873.947156444 5411954.46218234)
434,2439.0,7508,POINT (-8835129.425387817 5412794.093768577)
